Symbol,Sample Time,Open,High,Low,Close,Adj. Close,Volume
NQ=F,1/13/2015 5:00,4169.5,4247.75,4126.75,4158.5,4158.5,476645
NQ=F,1/14/2015 5:00,4158,4169.25,4100.5,4145.5,4145.5,450812
NQ=F,1/15/2015 5:00,4147.5,4190,4066,4089,4089,456035
NQ=F,1/16/2015 5:00,4072.5,4138.5,4041.5,4134,4134,359021
NQ=F,1/20/2015 5:00,4138.75,4175.25,4109,4167,,347445
NQ=F,1/21/2015 5:00,4166,4205.25,4137,4182.75,4167,327200
NQ=F,1/22/2015 5:00,4183.75,4269,4164.5,4264.75,4182.75,338354
NQ=F,1/23/2015 5:00,4265.5,4286.25,4250.25,4267,4264.75,227200
NQ=F,1/26/2015 5:00,4249.5,4278.25,4231.5,4269.25,4267,187612
NQ=F,1/27/2015 5:00,4266.75,4271,4142.75,4177.5,,363818
NQ=F,1/28/2015 5:00,4206,4234.5,4119.5,4124.25,4269.25,363115
NQ=F,1/29/2015 5:00,4125,4199.75,4095.75,4185.75,4177.5,358572
NQ=F,1/30/2015 5:00,4203.5,4208,4136,4141.25,4124.25,345604
NQ=F,2/2/2015 5:00,4143.5,4188,4085.5,4185.5,4185.75,353848
NQ=F,2/3/2015 5:00,4180.75,4222.75,4165.75,4216.25,4141.25,283374
NQ=F,2/4/2015 5:00,4207.75,4243,4187.5,4204,,269497
NQ=F,2/5/2015 5:00,4191,4254.75,4181.5,4247.5,4185.5,200569
NQ=F,2/6/2015 5:00,4251,4268.25,4209.75,4227.5,4216.25,253335
NQ=F,2/9/2015 5:00,4226.5,4232,4201.5,4214.25,4204,198223
NQ=F,2/10/2015 5:00,4219,4284,4211,4276,4247.5,225792
NQ=F,2/11/2015 5:00,4278.25,4322,4271,4296.5,4227.5,207031
NQ=F,2/12/2015 5:00,4308.5,4346.5,4285.75,4344.75,,219353
NQ=F,2/13/2015 5:00,4342.75,4382,4340.75,4377,4214.25,190386
NQ=F,2/17/2015 5:00,4373.5,4388.5,4364.5,4381.75,4276,194620
NQ=F,2/18/2015 5:00,4384.5,4393.5,4373.75,4386,4296.5,146465
NQ=F,2/19/2015 5:00,4390.25,4417.25,4376,4413.25,4344.75,168236
NQ=F,2/20/2015 5:00,4416.25,4445,4396,4438,4377,235154
NQ=F,2/23/2015 5:00,4439.75,4449.25,4429.75,4444.5,,133132
