stock,Date,Actual,Pred,Predlag
CSCO,2020-04-22,41.7599983215332,41.835617,41.80709
CSCO,2020-04-23,41.61999893188477,41.80709,41.75914
CSCO,2020-04-24,42.52000045776367,41.75914,41.778843
CSCO,2020-04-27,43.060001373291016,41.778843,41.909634000000004
CSCO,2020-04-28,42.4900016784668,41.909634000000004,42.076492
CSCO,2020-04-29,43.34000015258789,42.076492,42.285779999999995
CSCO,2020-04-30,42.38000106811523,42.285779999999995,42.44806
CSCO,2020-05-01,40.91999816894531,42.44806,42.430965
CSCO,2020-05-04,41.349998474121094,42.430965,42.281420000000004
CSCO,2020-05-05,41.459999084472656,42.281420000000004,42.086006
CSCO,2020-05-06,41.150001525878906,42.086006,41.880314
CSCO,2020-05-07,41.36999893188477,41.880314,41.705529999999996
CSCO,2020-05-08,42.9900016784668,41.705529999999996,41.691223
CSCO,2020-05-11,43.31999969482422,41.691223,41.85433
CSCO,2020-05-12,43.22000122070313,41.85433,42.116894
CSCO,2020-05-13,41.95000076293945,42.116894,42.308956
CSCO,2020-05-14,43.849998474121094,42.308956,42.516490000000005
CSCO,2020-05-15,44.27000045776368,42.516490000000005,42.791073
CSCO,2020-05-18,45.06000137329102,42.791073,43.160656
CSCO,2020-05-19,44.61000061035156,43.160656,43.543575
CSCO,2020-05-20,45.43999862670898,43.543575,43.935207
CSCO,2020-05-21,44.63999938964844,43.935207,44.251971999999995
CSCO,2020-05-22,44.900001525878906,44.251971999999995,44.48377
CSCO,2020-05-26,44.84000015258789,44.48377,44.638897
CSCO,2020-05-27,45.959999084472656,44.638897,44.813587
CSCO,2020-05-28,45.599998474121094,44.813587,44.99842
CSCO,2020-05-29,47.81999969482422,44.99842,45.323376
CSCO,2020-06-01,46.29999923706055,45.323376,45.661392
CSCO,2020-06-02,46.88999938964844,45.661392,45.971313
CSCO,2020-06-03,46.93999862670896,45.971313,46.23648
CSCO,2020-06-04,46.86000061035156,46.23648,46.44344
CSCO,2020-06-05,47.83000183105469,46.44344,46.660408000000004
