title,url,date,ticker
Abbott Laboratories 2020 Q3 - Results - Earnings Call Presentation,/article/4380199-abbott-laboratories-2020-q3-results-earnings-call-presentation?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A3,10/21/2020,ABT
"Abbott Laboratories (ABT) CEO, Robert Ford on Q2 2020 Results - Earnings Call Transcript",/article/4358872-abbott-laboratories-abt-ceo-robert-ford-on-q2-2020-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A4,7/16/2020,ABT
Abbott Laboratories 2020 Q2 - Results - Earnings Call Presentation,/article/4358805-abbott-laboratories-2020-q2-results-earnings-call-presentation?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A5,7/16/2020,ABT
"Abbott Laboratories (ABT) CEO, Robert Ford on Q1 2020 Results - Earnings Call Transcript",/article/4338017-abbott-laboratories-abt-ceo-robert-ford-on-q1-2020-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A6,4/16/2020,ABT
Abbott Laboratories 2020 Q1 - Results - Earnings Call Presentation,/article/4337963-abbott-laboratories-2020-q1-results-earnings-call-presentation?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A7,4/16/2020,ABT
Abbott Laboratories (ABT) CEO Miles White on Q4 2019 Results - Earnings Call Transcript,/article/4318424-abbott-laboratories-abt-ceo-miles-white-on-q4-2019-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A8,1/22/2020,ABT
Abbott Laboratories 2019 Q4 - Results - Earnings Call Presentation,/article/4318276-abbott-laboratories-2019-q4-results-earnings-call-presentation?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A9,1/22/2020,ABT
Accenture plc's (ACN) CEO Julie Sweet on Q1 2021 Results - Earnings Call Transcript,/article/4395192-accenture-plcs-acn-ceo-julie-sweet-on-q1-2021-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A1,12/17/2020,ACN
Accenture plc 2021 Q1 - Results - Earnings Call Presentation,/article/4395143-accenture-plc-2021-q1-results-earnings-call-presentation?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A2,12/17/2020,ACN
Accenture PLC (ACN) CEO Julie Sweet on Q4 2020 Results - Earnings Call Transcript,/article/4376150-accenture-plc-acn-ceo-julie-sweet-on-q4-2020-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A3,9/24/2020,ACN
Accenture plc 2020 Q4 - Results - Earnings Call Presentation,/article/4376145-accenture-plc-2020-q4-results-earnings-call-presentation?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A4,9/24/2020,ACN
Accenture plc's (ACN) CEO Julie Sweet on Q3 2020 Results - Earnings Call Transcript,/article/4355660-accenture-plcs-acn-ceo-julie-sweet-on-q3-2020-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A5,6/25/2020,ACN
Accenture plc 2020 Q3 - Results - Earnings Call Presentation,/article/4355585-accenture-plc-2020-q3-results-earnings-call-presentation?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A6,6/25/2020,ACN
Accenture plc (ACN) CEO Julie Sweet on Q2 2020 Results - Earnings Call Transcript,/article/4333092-accenture-plc-acn-ceo-julie-sweet-on-q2-2020-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A7,3/19/2020,ACN
Accenture plc 2020 Q2 - Results - Earnings Call Presentation,/article/4332934-accenture-plc-2020-q2-results-earnings-call-presentation?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A8,3/19/2020,ACN
Adobe Inc. (ADBE) CEO Shantanu Narayen on Q4 2020 Results - Earnings Call Transcript,/article/4394124-adobe-inc-adbe-ceo-shantanu-narayen-on-q4-2020-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A1,12/10/2020,ADBE
Adobe Inc. 2020 Q4 - Results - Earnings Call Presentation,/article/4394028-adobe-inc-2020-q4-results-earnings-call-presentation?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A2,12/10/2020,ADBE
Adobe Inc. (ADBE) CEO Shantanu Narayen on Q3 2020 Results - Earnings Call Transcript,/article/4374554-adobe-inc-adbe-ceo-shantanu-narayen-on-q3-2020-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A3,9/15/2020,ADBE
Adobe Inc. (ADBE) Management Presents at Morgan Stanley Future of Work Virtual Conference (Transcript),/article/4355085-adobe-inc-adbe-management-presents-morgan-stanley-future-of-work-virtual-conference?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A4,6/22/2020,ADBE
Adobe Inc. (ADBE) CEO Shantanu Narayen on Q2 2020 Results - Earnings Call Transcript,/article/4353449-adobe-inc-adbe-ceo-shantanu-narayen-on-q2-2020-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A5,6/11/2020,ADBE
Adobe Inc.'s (ADBE) CEO Shantanu Narayen on Q1 2020 Results - Earnings Call Transcript,/article/4331715-adobe-inc-s-adbe-ceo-shantanu-narayen-on-q1-2020-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A6,3/12/2020,ADBE
"American International Group, Inc. (AIG) Management Presents at UBS Virtual Specialty Insurance/Reinsurance Conference (Transcript)",/article/4394893-american-international-group-inc-aig-management-presents-ubs-virtual-specialty-insurance?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A1,12/15/2020,AIG
American International Group (AIG) Investor Presentation - Slideshow,/article/4394878-american-international-group-aig-investor-presentation-slideshow?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A2,12/15/2020,AIG
"American International Group, Inc. (AIG) CEO Brian Duperreault on Q3 2020 Results - Earnings Call Transcript",/article/4386116-american-international-group-inc-aig-ceo-brian-duperreault-on-q3-2020-results-earnings-call?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A3,11/6/2020,AIG
"American International Group, Inc. 2020 Q3 - Results - Earnings Call Presentation",/article/4385912-american-international-group-inc-2020-q3-results-earnings-call-presentation?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A4,11/6/2020,AIG
American International Group (AIG) Investor Presentation - Slideshow,/article/4374509-american-international-group-aig-investor-presentation-slideshow?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A5,9/15/2020,AIG
"American International Group, Inc. (AIG) Management Presents at Barclays Global Financial Services Conference (Transcript)",/article/4374394-american-international-group-inc-aig-management-presents-barclays-global-financial-services?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A6,9/15/2020,AIG
"American International Group, Inc. (AIG) Presents at KBW Virtual Insurance Conference and Barclays Global Financial Services Conference Call - (Transcript)",/article/4373312-american-international-group-inc-aig-presents-kbw-virtual-insurance-conference-and-barclays?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A7,9/9/2020,AIG
"American International Group, Inc. (AIG) CEO Brian Duperreault on Q2 2020 Results - Earnings Call Transcript",/article/4364308-american-international-group-inc-aig-ceo-brian-duperreault-on-q2-2020-results-earnings-call?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A8,8/4/2020,AIG
"American International Group, Inc. 2020 Q2 - Results - Earnings Call Presentation",/article/4364067-american-international-group-inc-2020-q2-results-earnings-call-presentation?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A9,8/4/2020,AIG
"American International Group, Inc. (AIG) Presents at Morgan Stanley Virtual US Financials Broker Conference Call - (Transcript)",/article/4352937-american-international-group-inc-aig-presents-morgan-stanley-virtual-us-financials-broker?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A10,6/9/2020,AIG
